,Datetime,RTU_COMP_WATT,RTU_LA_COND_TEMP,RTU_MA_HUM,RTU_MA_TEMP,RTU_OA_HUM,RTU_OA_TEMP,RTU_RA_HUM,RTU_RA_TEMP,RTU_REFG_COND_TEMP_1,RTU_REFG_COND_TEMP_2,RTU_REFG_DISC_PRES_1,RTU_REFG_DISC_PRES_2,RTU_REFG_DISC_TEMP_1,RTU_REFG_DISC_TEMP_2,RTU_REFG_SUCT_PRES_1,RTU_REFG_SUCT_PRES_2,RTU_REFG_SUCT_TEMP_1,RTU_REFG_SUCT_TEMP_2,RTU_SA_FAN_WATT,RTU_SA_FLOW,RTU_SA_HUM,RTU_SA_TEMP,RTU_TOT_WATT,ZA_HUM,ZA_TEMP
40,2020-06-03 10:30:00,1622.25007625,28.178815750000002,54.58305275,22.772196,62.7190095,22.937028,52.76089375,24.7887405,21.829955249999998,23.13227675,11.15649275,8.023082500000001,43.16646,21.66232775,6.5980985,8.0517645,20.99677725,23.90863125,1686.000061,3220.2316892500003,53.49317725,23.366816999999998,3652.500183,-14.803085,23.16556075
41,2020-06-03 11:00:00,1360.2000078,26.5126366,55.732253400000005,22.5554412,62.73767840000001,22.927529200000002,53.5473672,24.6941978,22.712857800000002,23.242330799999998,10.5905116,8.2321588,36.895950600000006,23.045197,7.1903918,8.2625548,21.4618118,24.1014308,1684.0000487999998,3084.5117676,52.80157379999999,24.5550126,3337.8001952,-14.803085,23.230192199999998
42,2020-06-03 11:30:00,2168.238173761905,31.045594476190477,55.81069147619048,23.11403023809524,63.73559790476191,23.563762142857144,55.032756904761904,25.030588714285717,20.66474738095238,24.020356285714286,12.067400666666666,7.829190571428572,54.52941233333333,25.265821142857142,6.398000523809524,7.868283571428572,20.732364571428572,24.822549857142857,1693.3810279047618,3031.235863142857,61.70712476190476,21.608730761904763,4285.333501809524,-14.803085,23.353583047619047
43,2020-06-03 12:00:00,3205.666724277778,32.31624377777778,56.30646544444445,23.280039444444444,63.134221055555564,24.111678611111113,56.4671175,25.066885555555555,18.685998166666664,24.435015555555555,13.481766944444445,7.343286222222222,62.498790111111106,26.28506461111111,5.537561777777778,7.388792666666666,20.056670944444445,25.70449905555556,1701.8889905555554,3102.6409099444445,66.3503693888889,19.736344944444443,5498.333462111111,-14.803085000000001,23.343498111111114
44,2020-06-03 12:30:00,2773.833391,32.121410499999996,57.52478994444444,23.269709666666667,63.300743777777775,24.481574333333334,57.83041327777778,24.942950166666666,18.87086188888889,24.967637222222223,13.106887333333333,7.508254777777777,60.967054833333336,26.421885833333334,6.073072,7.554972444444445,20.126784999999998,26.025586277777776,1700.055630111111,3031.2255316666665,67.24766416666667,19.9961445,4989.66687,-14.803085000000001,23.25065261111111
45,2020-06-03 13:00:00,2829.6364745454543,30.777332272727275,58.84563872727272,23.13414681818182,64.70399881818182,24.37931,58.31758736363636,24.900305,20.108822454545454,24.552337454545455,13.066068909090909,7.636031,56.78254827272727,25.786068454545454,5.932311545454545,7.681618454545455,20.85097309090909,25.692797454545452,1699.6364523636364,3188.804731818182,62.667861090909085,21.388958454545453,5057.909357090909,-14.803085,23.34232809090909
46,2020-06-03 13:30:00,1765.000020125,30.1248171875,59.544179,23.22441075,65.511795,24.328588375,59.1557540625,24.95989725,21.400085937500002,24.37020425,11.605689312500001,8.095973125,49.796209437499996,25.6855409375,6.9778705,8.1387120625,21.366757625,25.5881526875,1686.375061,3084.7112578750002,61.8354569375,22.8297168125,3798.9377287499997,-14.803085,23.289420625
47,2020-06-03 14:00:00,1400.421138631579,29.492038105263156,61.2893957368421,23.061719263157894,67.50368063157896,24.276535,60.16657457894737,24.88262247368421,21.96377147368421,23.92854689473684,11.069126578947367,8.251875842105264,49.33375652631579,25.55239910526316,7.105123684210527,8.293391631578947,20.801134157894737,25.452281,1681.736880631579,3039.1637539999997,63.65765963157895,23.125347631578947,3375.5265019999997,-14.803084999999998,23.31029352631579
48,2020-06-03 14:30:00,1562.538513230769,29.062572000000003,62.709099461538464,22.885192076923076,70.370656,23.78601646153846,61.32575315384615,24.853763999999998,21.63341576923077,23.713336615384613,11.06525776923077,8.152417923076923,49.51890723076924,25.110675923076922,6.8339574615384615,8.190940461538462,21.151916692307694,25.374373692307692,1681.0769606153845,3108.0394945384614,64.39464153846154,22.790685307692307,3572.8463790769233,-14.803085,23.243892384615382
49,2020-06-03 15:00:00,1676.7273061818182,30.422824363636366,62.446107181818185,23.294081818181816,69.92088245454546,24.211006090909088,62.46306890909091,25.117081454545453,22.50065145454545,24.446215454545452,11.434424454545455,8.36301590909091,48.911621181818184,25.891666454545454,6.946440636363636,8.404494272727273,20.689454272727275,25.788461909090913,1676.1818292727273,2987.860729090909,63.29506290909091,23.918761000000003,3699.1820621818183,-14.803085,23.252449636363636
50,2020-06-03 15:30:00,3743.6087487391305,34.96262908695652,59.904938739130436,24.37880065217391,64.22475717391305,26.230689652173915,65.05519613043478,26.17661704347826,18.139249608695653,26.733602260869564,14.717316173913042,7.380338347826087,69.9094877826087,27.321027086956523,5.39954752173913,7.433899086956522,20.662414782608696,27.937450260869568,1692.0870573043478,3108.366083652174,73.57618217391304,19.321342,6086.348149652174,-14.803085,23.365519260869565
51,2020-06-03 16:00:00,3731.346245346154,36.04877869230769,59.09103176923077,24.532828730769232,59.386849346153845,27.34632657692308,65.38095238461538,25.915628153846153,17.774476384615387,27.336236346153846,14.92360523076923,7.2733223076923075,71.56610296153846,28.8664325,5.559363038461539,7.332552038461539,19.05934742307692,29.185392346153847,1693.2693386923077,2898.8055607692304,80.38714153846155,18.551848076923076,6054.308133384615,-14.803085,23.2590875
52,2020-06-03 16:30:00,3804.035801428571,36.43891760714286,59.22814553571429,24.421692928571428,58.224483892857144,27.579799964285716,64.44956810714287,25.761118928571427,17.298305785714284,27.715416642857143,15.140287,7.155071321428571,72.33601396428571,29.60730382142857,5.465440607142858,7.215702785714286,18.11331092857143,29.602532535714285,1690.107234357143,2845.988464428571,83.27341303571428,17.919971392857143,6131.464660428572,-14.803085,23.262472214285715
53,2020-06-03 17:00:00,4086.86209,36.869708379310346,58.680814758620684,24.67296372413793,56.443755,28.298019413793103,64.86797120689656,25.860723,16.69287151724138,28.525609413793102,15.657083862068966,7.052027931034483,74.74832986206897,30.511694620689656,5.370012551724138,7.117555137931034,16.875253344827584,30.517137758620688,1684.793196,2795.5677027931033,85.35617410344827,17.464861,6439.7935746206895,-14.803085,23.17628727586207
54,2020-06-03 17:30:00,3909.541786458333,35.681449125,60.201598249999996,24.154723375,57.27352066666666,27.905150333333335,64.16945141666666,25.205860416666667,16.534875083333333,27.61407829166667,15.213180375,7.0388575,72.02489929166667,29.83079629166667,5.425723416666667,7.096265083333333,16.081797166666664,29.434580666666665,1684.7500965833333,2812.2118835833335,86.11212520833334,17.247575625,6247.833765416667,-14.803085000000001,23.188984625
55,2020-06-03 18:00:00,2742.615432153846,33.92908330769231,62.039125346153845,23.91985157692308,62.398592038461544,26.631238153846155,63.01571603846154,25.155861961538463,19.20647157692308,25.889476076923078,13.354738269230769,7.598920076923077,62.47746088461538,28.63230980769231,6.034472269230769,7.6528195000000006,19.824760538461536,27.54980796153846,1679.5769793846155,2924.275832,81.30422300000001,19.655560461538464,4908.115661461538,-14.803085,23.208232538461537
56,2020-06-03 18:30:00,2763.1053402105263,33.66642110526316,63.01539826315789,23.881135999999998,64.13961936842105,26.314548789473683,63.94571731578947,25.238783368421053,19.799582736842105,26.006199684210525,13.455165947368421,7.728131894736842,62.609794736842105,28.26239863157895,5.969578842105263,7.781125210526315,20.94167442105263,27.84009305263158,1682.684294,3003.096307105263,77.66733310526315,20.28165752631579,4937.368652210526,-14.803084999999998,23.295940210526314
57,2020-06-03 19:00:00,2896.6667227222224,31.92826305555555,65.71248261111111,23.37767994444444,68.26188922222222,25.809594333333333,65.03803511111111,24.928719166666667,20.235129333333333,24.854473166666665,13.224513444444444,7.788835166666666,59.51621966666667,27.275308222222222,5.952223666666666,7.838741222222222,21.048591055555555,27.100036444444445,1684.8889634444445,3027.249606722222,74.70202683333333,20.964701166666668,5103.611314444444,-14.803085000000001,23.288561
58,2020-06-03 19:30:00,2052.5,29.321678499999997,67.986931,22.821006500000003,73.554867,24.4532815,65.2959675,24.735182,21.538429,23.9133895,12.051665,8.0905035,48.74736,25.2703105,6.407714,8.1299765,20.542655,26.025137,1665.500061,3239.4798585,67.17316450000001,22.805556,4117.500244,-14.803085,23.241972
59,2020-06-03 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
60,2020-06-03 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
61,2020-06-03 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
62,2020-06-03 21:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
63,2020-06-03 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
64,2020-06-03 22:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
65,2020-06-03 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
66,2020-06-03 23:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
67,2020-06-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
68,2020-06-04 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
69,2020-06-04 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
70,2020-06-04 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
71,2020-06-04 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
72,2020-06-04 02:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
73,2020-06-04 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
74,2020-06-04 03:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
75,2020-06-04 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
76,2020-06-04 04:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
77,2020-06-04 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
78,2020-06-04 05:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
79,2020-06-04 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
80,2020-06-04 06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
81,2020-06-04 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
82,2020-06-04 07:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
83,2020-06-04 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
84,2020-06-04 08:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
85,2020-06-04 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
86,2020-06-04 09:30:00,2260.3750915,26.73877275,70.242016,22.260928875,80.16001625,22.45672,67.438147625,23.827591249999998,20.45796575,22.15273975,11.790467249999999,7.96628675,46.460102375,20.1401515,6.2227953750000005,7.888022375,20.072215625,22.146207,1699.875122,3134.94927975,68.55879875,22.269621125,4411.8752134999995,-14.803085,23.166978875
87,2020-06-04 10:00:00,2691.4584019999998,31.578226708333332,67.64113141666667,22.725223541666665,72.82249341666666,23.569476124999998,68.59289595833333,24.021354374999998,18.545355041666667,23.957379833333334,12.842968999999998,7.5121982916666665,58.69526620833333,19.869700416666667,5.925635916666667,7.539093041666667,19.598922333333334,24.25509045833333,1705.5417886666667,2958.4242248333335,79.63308433333333,19.523187166666666,4902.958506166667,-14.803085000000001,23.0955445
88,2020-06-04 10:30:00,3568.703735333333,33.41775203703704,66.03462244444444,23.02424774074074,67.98182540740741,24.438732,68.40888185185185,24.247113074074075,16.65060762962963,25.26614303703704,14.273743814814814,7.123812,68.44003951851852,25.479460925925924,5.389285777777778,7.165849851851852,19.314974888888887,26.202281111111112,1705.7408582222222,2934.2744773703707,84.18395822222222,17.612056592592594,5907.037258444445,-14.803085,23.11104185185185
89,2020-06-04 11:00:00,4336.9333658666665,35.25579603333333,62.83684913333333,23.392758099999998,59.839027533333336,25.356970366666665,67.59728053333333,24.3858848,15.212272133333332,27.096327,15.706536933333332,6.832893299999999,75.2579727,27.239669466666665,5.073386033333334,6.877831866666667,14.980510233333332,27.9492314,1701.7334553333333,2779.2604329333335,87.82913153333334,16.155582133333333,6770.067154666666,-14.803085,23.1604716
90,2020-06-04 11:30:00,4410.9333983999995,37.0769434,59.52262033333333,23.877052900000002,54.2324183,26.1762823,65.71228260000001,24.589797033333333,15.184508233333334,28.030042933333334,16.025962333333332,6.8173389,75.4926336,29.0421427,5.0891150666666665,6.868435166666667,13.502409933333333,29.025143500000002,1699.2667886666666,2756.3534179333337,88.19897763333333,16.083464799999998,6839.433821333333,-14.803085,23.2615189
91,2020-06-04 12:00:00,4788.076998153846,38.78037126923077,59.07895461538462,24.103385346153843,54.57316738461539,26.695294884615386,64.79548853846154,24.79755876923077,20.832634038461535,28.76423726923077,16.288613,9.324491961538461,75.99668084615385,45.38241557692308,5.090097115384615,6.2797353846153845,12.915133923076922,25.643036115384614,1819.7308677692308,2752.503230076923,88.09906073076922,15.44685323076923,8329.769681384614,-14.803085,23.469840230769233
92,2020-06-04 12:30:00,5089.846322769231,43.359102538461535,59.84001738461538,24.429055730769228,58.62174569230769,27.212516846153846,64.48420396153846,24.89290396153846,34.06194442307692,30.512990230769233,16.871044576923076,15.80282923076923,76.8840573076923,84.07642042307693,5.049768538461539,4.6894631538461535,10.54584973076923,21.15960757692308,1869.4231426153844,2660.3021990769234,87.95317688461539,13.319561884615384,11358.538837307693,-14.803085,23.490911423076923
93,2020-06-04 13:00:00,4653.7667317333335,43.998374600000005,57.8844619,24.663154733333332,54.0446766,27.654149566666668,65.30243449999999,25.126706566666666,34.81065126666667,31.238150466666664,17.092289400000002,16.015154133333333,77.38554616666667,85.8540215,5.054170099999999,4.7188585,10.180245166666667,21.135778300000002,1685.7001097999998,2642.3358317,88.03003433333333,13.333128666666665,10356.566927200001,-14.803085,23.5278669
94,2020-06-04 13:30:00,4707.066748,44.8027746,54.83993613333334,25.088125866666665,47.710132466666664,28.4888048,64.25253746666667,25.5213347,35.65951426666666,32.067513866666665,17.32177856666667,16.23268343333333,77.94099116666666,86.31877083333333,5.052474966666667,4.725340166666667,9.296928266666667,21.084345,1686.0667724,2655.1904541333333,87.65559083333332,13.328005266666667,10450.0002931,-14.803085,23.59210876666667
95,2020-06-04 14:00:00,4722.266748,45.044127933333336,52.81724016666667,25.288188433333335,43.592299733333334,29.0503326,64.48201816666666,26.030842399999997,36.14759376666667,32.5448951,17.3619492,16.2718794,78.3547475,86.49856423333334,5.039863966666667,4.7139839666666665,9.2334371,21.15861423333333,1686.933455333333,2648.9669676999997,87.45942333333333,13.254645666666667,10476.4668295,-14.803085,23.706494866666667
96,2020-06-04 14:30:00,4796.600032533333,46.00238306666667,49.9181724,25.880755366666666,38.56574113333333,30.268883833333334,62.66358820000001,26.54609633333333,37.347151266666664,33.595916366666664,17.698643266666668,16.5942216,78.9627952,87.6762861,5.0564399,4.739400333333333,8.532998733333333,21.508583066666667,1685.0001057333332,2653.9434897333335,86.86669140000001,13.3887114,10601.7670249,-14.803085,23.846610133333332
97,2020-06-04 15:00:00,4806.666829333333,46.20139913333333,48.32268203333333,26.0437496,35.30028266666667,31.0964506,60.16244433333333,26.6785958,37.7444342,33.89413553333333,17.747530733333335,16.6198607,79.12090903333333,88.06944603333334,5.042341833333333,4.723956833333333,8.286097633333334,21.596109633333334,1684.4000976,2653.7312174666667,86.46694683333334,13.334370533333333,10616.533659,-14.803085,23.886979133333334
98,2020-06-04 15:30:00,4822.000081333334,46.62201093333333,50.63587796666666,26.178266266666665,41.07499563333333,31.437453133333335,59.2885049,26.8053533,37.9095713,34.062977366666665,17.84310436666667,16.6707213,79.54940873333334,88.58253123333334,5.088176066666667,4.752412733333333,9.065943466666665,22.2589122,1685.4667520666667,2662.5123617,86.82405683333333,13.720267666666667,10642.3338544,-14.803085,23.930096966666667
99,2020-06-04 16:00:00,4848.7667968,46.9910298,48.25020696666666,26.289789733333336,35.75643146666666,31.856581866666666,59.19525693333333,26.866132333333333,38.59751026666667,34.57368146666667,17.9027537,16.7215172,79.57721843333334,89.39593343333333,5.0653786,4.7222493,9.098689199999999,22.384961933333333,1688.8667845999998,2675.1479735999997,86.16444069999999,13.5712969,10693.100521066666,-14.803085,24.017529466666666
100,2020-06-04 16:30:00,4807.966731733333,46.42955826666666,46.90550686666666,26.023032866666668,32.67409263333334,31.796381433333334,56.695811000000006,26.652902166666667,38.55846533333333,34.316203533333336,17.754977866666664,16.572395433333334,78.75531796666668,89.36229806666667,5.0119095666666675,4.665459233333333,8.721499833333333,22.215599866666665,1690.000122,2654.650642966667,86.12650273333334,13.173056966666667,10620.633528733333,-14.803085,23.942704233333334
101,2020-06-04 17:00:00,4739.233447199999,45.292371333333335,48.329263833333336,25.695353666666666,35.65627156666667,31.622549566666667,56.13695456666667,26.360657933333336,37.55158483333333,33.28150726666667,17.442303933333335,16.2571886,77.83788523333332,88.71107586666668,4.982676333333333,4.626597966666667,8.793951933333334,22.0374231,1690.3667886666665,2668.259130966667,86.2181208,13.032082599999999,10497.033561299999,-14.803085,23.872059200000002
102,2020-06-04 17:30:00,4523.233447199999,42.11055366666666,54.01362163333333,24.367484233333336,47.1300497,28.88096476666667,55.97398593333333,25.2521432,32.97281673333333,30.692235233333335,16.5476331,14.439904433333334,75.95970623333332,82.11944616666666,4.9299759666666665,4.818265733333333,10.1143336,22.168542733333332,1692.4667886666664,2623.3667073,88.53901496666667,12.776527,9831.100390766665,-14.803085,23.516099999999998
103,2020-06-04 18:00:00,4389.733447199999,36.773238799999994,56.45282363333333,24.1157258,53.29378676666667,27.361419066666667,57.2638371,25.14316193333333,15.254404366666668,28.4942708,16.016934666666668,6.6855028333333335,75.64219306666668,32.71110136666667,5.0475912,6.765373233333333,13.9903674,31.0263406,1684.7667764666664,2730.0236898333333,90.11188566666667,15.634533466666666,6807.067154666666,-14.803085,23.2571202
104,2020-06-04 18:30:00,3361.423183653846,34.91623969230769,59.13396973076923,23.72200330769231,58.43031765384615,26.467060076923076,59.073292499999994,24.984885769230768,16.751816576923076,26.25848046153846,13.932079923076923,7.062191538461539,68.48547211538461,30.09782923076923,5.728519576923077,7.1251785384615385,17.275200115384617,29.2858745,1685.7693246153844,2793.6980919999996,88.85596465384614,17.15568296153846,5633.846548,-14.803085,23.079529192307692
105,2020-06-04 19:00:00,2645.7143337142857,32.97076942857143,60.92646480952381,23.41616880952381,61.67263728571429,25.49056023809524,60.40750647619048,24.96915776190476,19.319569142857144,24.778762,12.265890523809524,7.674318571428571,62.61350561904762,28.654400380952378,6.305266,7.731910333333333,21.038078000000002,28.029281571428573,1691.4762834285714,2925.359386571429,81.93703866666667,19.22705819047619,4826.428798,-14.803085,23.12644942857143
106,2020-06-04 19:30:00,2649.000040888889,31.793352666666667,62.40013366666666,23.07121438888889,64.307172,24.685365833333336,61.151332055555564,24.89715344444444,19.821094000000002,24.35422366666667,11.742977055555555,7.838015722222222,60.187684277777784,27.463172333333333,6.5476302777777775,7.888357055555556,21.43477627777778,27.12904261111111,1694.5556572222222,3024.3336860555555,76.38851844444444,19.921749444444444,4845.444661333333,-14.803085000000001,23.140847666666666
107,2020-06-04 20:00:00,1706.750049625,29.932570875,63.950679375,22.74035725,67.7298795,23.958092375,61.802345375,24.82774525,21.315361125,23.752265625,10.952529875,8.177131375,51.240343125,26.418484875,7.0792470000000005,8.218503125,20.4553635,26.283659749999998,1686.375061,3100.993011375,70.676222875,21.750861999999998,3737.37522875,-14.803085,23.115210125
108,2020-06-04 20:30:00,1484.00014,27.951517142857142,65.20033285714285,22.510398000000002,69.79887614285714,23.49651642857143,61.981766285714286,24.752812857142857,21.470605142857146,23.073128999999998,9.528915999999999,8.237251,46.294900857142856,25.385226142857142,7.697863,8.274314428571428,20.96728,25.741391571428572,1335.714303142857,2787.8041644285718,68.36575414285714,22.214350999999997,3141.285836285714,-14.803085,23.140960714285715
109,2020-06-04 21:00:00,42.0,23.479151,65.951912,22.315924,71.598633,23.174414,62.371246,24.623411,22.833633,22.814894,8.529845,8.612395,28.446449,24.668272,8.615159,8.641409,23.016876,25.580942,1599.000122,2978.902344,63.826229,24.629072,1701.0,-14.803085,23.169497
110,2020-06-04 21:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
111,2020-06-04 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
112,2020-06-04 22:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
113,2020-06-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
114,2020-06-04 23:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
115,2020-06-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
116,2020-06-05 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
117,2020-06-05 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
118,2020-06-05 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
119,2020-06-05 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
120,2020-06-05 02:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
121,2020-06-05 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
122,2020-06-05 03:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
123,2020-06-05 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
124,2020-06-05 04:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
